,,
,Town Name,Delivery Fee
,Singida Urban,15000
,Musoma,15000
,Morogoro Urban,15000
,Kahama,15000
,Ifakara,15000
,Handeni,15000
,Zanzibar city,18000
,Same,15000
,Korogwe,16000
,Kilosa,15000
,Kibaha,12000
,Geita,15000
,Babati,15000
,Sumbawanga,20000
,Njombe,20000
,Lindi,20000
,Bukoba,15000
,Bagamoyo,15000
,Shinyanga,15000
,Songea,15000
,Iringa,15000
,Moshi,15000
,Mtwara,15000
,Tabora,15000
,Kigoma,20000
,Tanga,15000
,Mwanza,15000
,Mbeya,15000
,Arusha,15000
,Dodoma,15000
,Ferry,12000
,Kariakoo,10000
,Posta,10000
,Upanga,10000
,Masaki,10000
,Oysterbay,10000
,Namanga,8000
,Msasani,8000
,Morocco,8000
,Victoria,8000
,Makumbusho,7000
,Sinza,7000
,Mwenge,5000
,Mlimani,5000
,Survey,5000
,Makongo Juu,3000
,Goba Centre,2000
,Madale,6000
,Tegeta A,3000
,Masanna,4000
,Mbezi Beach,7000
,Mbezi Mwisho,6000
,Kimara,8000
,Ubungo,8000
,Tabata Segerea,15000
,Tabata Kinyerezi ,15000
,Airport,20000
,Tegeta ,8000
,Bunju,15000
,Mikocheni,8000
,Science,7000
,Temeke,17000
,Kigamboni,20000
,Kinondoni,10000
,Ilala,12000
,changanyikeni,3000
,kisumu,28000
,Nairobi ,23000
,malawi,30000
,mombasa,23000
,Uganda ,20000
,burundi,30000
,Rwanda,30000